,id_parcelle,code_type_local,lon,lat,adresse_complete,prix_m2
194,593503550C3722,1.0,3.005461,50.632386,21 RUE DES ECOLES LOMME 59160,3268.08
195,593503550C3716,1.0,3.004917,50.632173,16 RUE DES ECOLES LOMME 59160,2630.27
196,593503550C3714,1.0,3.00485,50.632224,12 RUE DES ECOLES LOMME 59160,2614.77
197,593503550C3709,1.0,3.004722,50.632406,2 RUE DES ECOLES LOMME 59160,1981.16
198,593503550C3707,1.0,3.004621,50.632478,18 RUE DE L EGALITE 59160,2426.57
199,593503550C3706,1.0,3.004558,50.632453,20 RUE DE L EGALITE 59160,2032.69
200,593503550C3698,1.0,3.004228,50.632124,1 RUE KUHLMANN LOMME 59160,2650.59
201,593503550C3691,1.0,3.004613,50.63198,13 RUE KUHLMANN LOMME 59160,3897.72
202,593503550C3682,1.0,3.005011,50.631507,35 RUE KUHLMANN LOMME 59160,3068.1
203,593503550C3676,1.0,3.005219,50.631341,47 RUE KUHLMANN LOMME 59160,2002.75
204,593503550C3669,1.0,3.006328,50.631856,20 RUE DE L EGLISE LOMME 59160,2726.64
205,593503550C3668,1.0,3.006388,50.631869,18 RUE DE L EGLISE LOMME 59160,2998.06
206,593503550C3666,1.0,3.006483,50.631922,14 RUE DE L EGLISE LOMME 59160,3188.7
207,593503550C3665,1.0,3.006528,50.631949,12 RUE DE L EGLISE LOMME 59160,3010.91
208,593503550C3660,1.0,3.006893,50.632019,2 RUE DE L EGLISE LOMME 59160,3733.36
209,593503550C3655,1.0,3.00663,50.632219,46 RUE VICTOR HUGO LOMME 59160,2861.75
210,593503550C3651,2.0,3.006444,50.63242,38 RUE VICTOR HUGO LOMME 59160,2056.1
211,593503550C3649,1.0,3.006346,50.632307,58 RUE DE LA LIBERTE LOMME 59160,2673.81
212,593503550C3648,1.0,3.006318,50.632272,56 RUE DE LA LIBERTE LOMME 59160,2924.58
213,593503550C3638,1.0,3.00571,50.632411,36 RUE DE LA LIBERTE LOMME 59160,2230.25
214,593503550C3637,1.0,3.00566,50.632429,34 RUE DE LA LIBERTE LOMME 59160,1747.09
215,593503550C3634,1.0,3.005557,50.632518,28 RUE DE LA LIBERTE LOMME 59160,2220.13
216,593503550C3628,1.0,3.005345,50.632687,16 RUE DE LA LIBERTE LOMME 59160,2985.91
217,593503550C3627,1.0,3.005328,50.632722,14 RUE DE LA LIBERTE LOMME 59160,2344.12
218,593503550C3623,1.0,3.00518,50.632833,6 RUE DE LA LIBERTE LOMME 59160,2384.14
