Type_OSM,id_OSM,lon,lat,tuple Lat-lon,Catégories,Sous_Cat,name
node,9332852611,3.0634617,50.6354710,"(50.6354710,3.0634617)",Shopping,clothes,Karl Marc John
node,5853256610,3.0571745,50.6273300,"(50.6273300,3.0571745)",Convenience,beauty,Kawaii Place
node,4431625188,3.0540182,50.6315005,"(50.6315005,3.0540182)",Entertainment,fast_food,Kebab & Co
node,6088976278,3.0683004,50.6240066,"(50.6240066,3.0683004)",Entertainment,fast_food,Kebab House
node,2899437007,3.0519524,50.6284695,"(50.6284695,3.0519524)",Entertainment,bar,Kee Mao Bar
node,5577103413,3.0571453,50.6298566,"(50.6298566,3.0571453)",Sport,fitness_centre,KeepCool
node,7216635206,3.0668264,50.6335821,"(50.6335821,3.0668264)",Sport,fitness_centre,KeepCool
node,6133393165,3.0635020,50.6377473,"(50.6377473,3.0635020)",Shopping,clothes,Keitel
node,9914682165,3.0641273,50.6348562,"(50.6348562,3.0641273)",Entertainment,fast_food,KFC
node,10112876227,3.0697877,50.6358622,"(50.6358622,3.0697877)",Entertainment,fast_food,KFC
node,8987442673,3.0755300,50.6375127,"(50.6375127,3.0755300)",Shopping,shoes,Kids Foot Locker
node,6469968195,3.0533100,50.6288379,"(50.6288379,3.0533100)",Entertainment,cafe,Kiff-Kiff
node,7454297247,3.0633154,50.6391291,"(50.6391291,3.0633154)",Shopping,clothes,Kilo Shop
node,5163093725,3.0557240,50.6297717,"(50.6297717,3.0557240)",Shopping,clothes,Kiloshow
way,52027235,2.9818421,50.6521903,"(50.6521903,2.9818421)",Culture,cinema,Kinepolis Lomme
way,85096939,3.0894484,50.6249135,"(50.6249135,3.0894484)",Healthcare,doctors,Kinésithérapeuthe
node,5337137124,3.0483611,50.6147599,"(50.6147599,3.0483611)",Entertainment,fast_food,King Food Family
node,9249238124,3.0582715,50.6386904,"(50.6386904,3.0582715)",Entertainment,fast_food,Kintama
node,5942418323,3.0637297,50.6327493,"(50.6327493,3.0637297)",Entertainment,restaurant,Kisoro
node,5348005215,3.0655151,50.6363370,"(50.6363370,3.0655151)",Shopping,travel_agency,Kit Voyages
node,9301445110,3.0663890,50.6347980,"(50.6347980,3.0663890)",Entertainment,food_court,Kitchen Market
node,8960319924,3.0609045,50.6343266,"(50.6343266,3.0609045)",Entertainment,bar,Klaxx Lab
node,5418801721,3.0516837,50.6283532,"(50.6283532,3.0516837)",Entertainment,restaurant,Kloung Soukhothai
node,7418955856,3.0650697,50.6366834,"(50.6366834,3.0650697)",Entertainment,restaurant,Koboon Lille
node,4416740153,3.0205609,50.6303364,"(50.6303364,3.0205609)",Entertainment,restaurant,Kok Piraat Péniche-Restaurant
way,84449329,3.0556523,50.6462028,"(50.6462028,3.0556523)",Entertainment,bar,Kolor
node,9548356273,3.0580880,50.6396221,"(50.6396221,3.0580880)",Entertainment,bar,Kong Bar
node,9683425651,3.0437353,50.6293127,"(50.6293127,3.0437353)",Entertainment,fast_food,Kook'n Pizza
node,6032496252,3.0647705,50.6393114,"(50.6393114,3.0647705)",Shopping,shoes,Kost
node,6032618921,3.0653632,50.6363221,"(50.6363221,3.0653632)",Entertainment,restaurant,Kozmo
way,43132443,3.0643567,50.6227769,"(50.6227769,3.0643567)",Entertainment,restaurant,Krama
